n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
320,-21.0,-21.0,-21.0,1018.29,13304.971
321,-21.0,-21.0,-21.0,1018.6,13326.624
322,-21.0,-21.0,-21.0,1018.56,13341.261
323,-21.0,-21.0,-21.0,1018.81,13360.82
324,-21.0,-21.0,-21.0,1018.65,13378.569
325,-21.0,-21.0,-21.0,1018.65,13362.819
326,-21.0,-21.0,-21.0,1018.66,13363.769
327,-21.0,-21.0,-21.0,1018.9,13374.4
328,-21.0,-21.0,-21.0,1019.02,13381.448
329,-21.0,-21.0,-21.0,1018.95,13419.087
330,-21.0,-21.0,-21.0,1018.95,13423.294
331,-21.0,-21.0,-21.0,1018.06,13418.165
332,-21.0,-21.0,-21.0,1017.93,13419.6
333,-21.0,-21.0,-21.0,1017.83,13421.646
334,-21.0,-21.0,-21.0,1017.68,13403.922
335,-21.0,-21.0,-21.0,1017.68,13396.153
336,-21.0,-21.0,-21.0,1017.5,13387.759
337,-21.0,-21.0,-21.0,1017.37,13369.567
338,-21.0,-21.0,-21.0,1017.73,13413.507
339,-21.0,-21.0,-21.0,1018.17,13419.361
340,-21.0,-21.0,-21.0,1018.17,13444.602
341,-21.0,-21.0,-21.0,1019.13,13464.55
342,-21.0,-21.0,-21.0,1018.82,13487.292
343,-21.0,-21.0,-21.0,1019.06,13506.429
344,-21.0,-21.0,-21.0,1018.97,13556.131
345,-21.0,-21.0,-21.0,1018.97,13577.118
346,-21.0,-21.0,-21.0,1019.49,13596.472
347,-21.0,-21.0,-21.0,1019.18,13617.98
348,-21.0,-21.0,-21.0,1019.28,13566.523
349,-21.0,-21.0,-21.0,1019.08,13538.749
350,-21.0,-21.0,-21.0,1019.08,13490.68
351,-21.0,-21.0,-21.0,1019.72,13446.757
352,-21.0,-21.0,-21.0,1019.69,13401.544
353,-21.0,-21.0,-21.0,1019.81,13355.768
354,-21.0,-21.0,-21.0,1020.08,13294.602
355,-21.0,-21.0,-21.0,1020.17,13261.893
356,-21.0,-21.0,-21.0,1020.43,13262.102
357,-21.0,-21.0,-21.0,1020.45,13254.226
358,-21.0,-21.0,-21.0,1020.02,13260.229
359,-21.0,-21.0,-21.0,1019.4,13260.469
360,-21.0,-21.0,-21.0,1019.34,13257.576
361,-21.0,-21.0,-21.0,1019.16,13259.389
362,-21.0,-21.0,-21.0,1018.75,13265.217
363,-21.0,-21.0,-21.0,1019.07,13259.201
364,-21.0,-21.0,-21.0,1018.82,13291.577
365,-21.0,-21.0,-21.0,1018.84,13299.235
366,-21.0,-21.0,-21.0,1017.88,13298.005
367,-21.0,-21.0,-21.0,1017.93,13302.603
368,-21.0,-21.0,-21.0,1017.9,13303.982
369,-21.0,-21.0,-21.0,1018.08,13314.235
370,-21.0,-21.0,-21.0,1018.14,13330.012
371,-21.0,-21.0,-21.0,1018.19,13333.441
372,-21.0,-21.0,-21.0,1017.93,13330.342
373,-21.0,-21.0,-21.0,1017.85,13344.831
374,-21.0,-21.0,-21.0,1017.46,13330.208
375,-21.0,-21.0,-21.0,1017.46,13371.875
376,-21.0,-21.0,-21.0,1017.62,13368.078
377,-21.0,-21.0,-21.0,1017.46,13361.768
378,-21.0,-21.0,-21.0,1017.82,13362.137
379,-21.0,-21.0,-21.0,1018.32,13356.765
380,-21.0,-21.0,-21.0,1018.23,13347.049
381,-21.0,-21.0,-21.0,1018.35,13362.772
382,-21.0,-21.0,-21.0,1018.32,13380.922
383,-21.0,-21.0,-21.0,1018.74,13383.887
384,-21.0,-21.0,-21.0,1018.39,13403.019
385,-21.0,-21.0,-21.0,1018.49,13384.683
386,-21.0,-21.0,-21.0,1019.15,13372.154
387,-21.0,-21.0,-21.0,1019.12,13371.934
388,-21.0,-21.0,-21.0,1019.27,13370.676
389,-21.0,-21.0,-21.0,1019.97,13365.003
390,-21.0,-21.0,-21.0,1019.99,13373.039
391,-21.0,-21.0,-21.0,1020.09,13372.562
392,-21.0,-21.0,-21.0,1020.15,13368.909
393,-21.0,-21.0,-21.0,1020.24,13371.188
394,-21.0,-21.0,-21.0,1020.48,13359.777
395,-21.0,-21.0,-21.0,1020.62,13348.357
396,-21.0,-21.0,-21.0,1020.48,13357.942
397,-21.0,-21.0,-21.0,1020.31,13372.869
398,-21.0,-21.0,-21.0,1020.29,13380.381
399,-21.0,-21.0,-21.0,1020.26,13386.54
400,-21.0,-21.0,-21.0,1020.11,13385.514
401,-21.0,-21.0,-21.0,1020.24,13371.497
402,-21.0,-21.0,-21.0,1019.88,13367.609
403,-21.0,-21.0,-21.0,1020.3,13355.195
404,-21.0,-21.0,-21.0,1019.9,13370.879
405,-21.0,-21.0,-21.0,1020.16,13352.035
406,-21.0,-21.0,-21.0,1020.26,13318.324
407,-21.0,-21.0,-21.0,1019.89,13294.102
408,-21.0,-21.0,-21.0,1019.73,13272.547
409,-21.0,-21.0,-21.0,1019.76,13281.075
410,-21.0,-21.0,-21.0,1019.87,13268.103
411,-21.0,-21.0,-21.0,1019.45,13290.545
412,-21.0,-21.0,-21.0,1019.19,13311.032
413,-21.0,-21.0,-21.0,1019.21,13328.696
414,-21.0,-21.0,-21.0,1019.47,13295.347
415,-21.0,-21.0,-21.0,1019.44,13302.722
416,-21.0,-21.0,-21.0,1019.26,13335.876
417,-21.0,-21.0,-21.0,1019.22,13342.341
418,-21.0,-21.0,-21.0,1019.57,13370.612
419,-21.0,-21.0,-21.0,1019.69,13394.228
420,-21.0,-21.0,-21.0,1019.69,13416.429
421,-21.0,-21.0,-21.0,1019.67,13401.275
422,-21.0,-21.0,-21.0,1019.78,13358.655
423,-21.0,-21.0,-21.0,1019.85,13325.869
424,-21.0,-21.0,-21.0,1019.67,13324.318
425,-21.0,-21.0,-21.0,1019.83,13334.798
426,-21.0,-21.0,-21.0,1019.53,13345.151
427,-21.0,-21.0,-21.0,1019.42,13366.01
428,-21.0,-21.0,-21.0,1019.74,13381.754
429,-21.0,-21.0,-21.0,1019.64,13369.897
430,-21.0,-21.0,-21.0,1019.59,13372.225
431,-21.0,-21.0,-21.0,1019.31,13369.358
432,-21.0,-21.0,-21.0,1019.31,13371.914
433,-21.0,-21.0,-21.0,1019.83,13376.088
434,-21.0,-21.0,-21.0,1019.49,13378.155
435,-21.0,-21.0,-21.0,1019.52,13370.331
436,-21.0,-21.0,-21.0,1019.19,13351.695
